Column 1: Date 
Column 2: heure 
Column 3: NMRe (m) 
Column 4: Maree (m) 
Column 5: Surcote (m) 
Column 6: Hs(vagues) (m) 
Column 7: Tp(vagues) (s) 
Column 8: Dp(vagues) (°) 
Column 9: U(vent) (m) 
Column 10: Dir(vent) (°) 
Column 11: Qualite(surcote) 
Column 12: Qualite(vagues) 
Column 13: Qualite(vent) 
09/01/1924 02:30 0.60 -0.03 0.55 6.58 20.43 245.90 19.99 252.40 -99 -99 -99
09/01/1924 02:40 0.60  0.18 0.55 6.60 20.62 246.14 20.14 252.58 -99 -99 -99
09/01/1924 02:50 0.60  0.38 0.54 6.63 20.79 246.60 20.26 253.68 -99 -99 -99
09/01/1924 03:00 0.60  0.58 0.54 6.65 20.94 247.33 20.37 254.66 -99 -99 -99
09/01/1924 03:10 0.60  0.77 0.54 6.67 21.07 248.13 20.42 254.83 -99 -99 -99
09/01/1924 03:20 0.60  0.96 0.55 6.68 21.19 248.40 20.44 254.51 -99 -99 -99
09/01/1924 03:30 0.60  1.14 0.54 6.72 21.29 248.94 20.43 254.47 -99 -99 -99
09/01/1924 03:40 0.60  1.29 0.54 6.74 21.35 249.21 20.38 254.92 -99 -99 -99
09/01/1924 03:50 0.60  1.44 0.54 6.76 21.40 249.49 20.35 254.51 -99 -99 -99
09/01/1924 04:00 0.60  1.57 0.53 6.77 21.44 249.17 20.33 254.97 -99 -99 -99
09/01/1924 04:10 0.60  1.69 0.53 6.80 21.47 249.08 20.34 255.69 -99 -99 -99
09/01/1924 04:20 0.60  1.80 0.52 6.81 21.58 249.16 20.28 256.41 -99 -99 -99
09/01/1924 04:30 0.60  1.90 0.52 6.83 21.65 249.13 20.18 256.42 -99 -99 -99
09/01/1924 04:40 0.60  1.97 0.51 6.84 21.74 249.15 20.07 256.69 -99 -99 -99
09/01/1924 04:50 0.60  2.03 0.51 6.86 21.86 248.99 19.95 257.68 -99 -99 -99
09/01/1924 05:00 0.60  2.08 0.52 6.87 22.02 248.81 19.76 257.82 -99 -99 -99
09/01/1924 05:10 0.60  2.11 0.52 6.88 22.19 248.52 19.56 257.84 -99 -99 -99
09/01/1924 05:20 0.60  2.13 0.51 6.89 22.31 248.37 19.36 257.52 -99 -99 -99
09/01/1924 05:30 0.60  2.14 0.51 6.91 22.44 248.18 19.16 256.68 -99 -99 -99
09/01/1924 05:40 0.60  2.13 0.50 6.92 22.56 248.07 18.89 255.55 -99 -99 -99
09/01/1924 05:50 0.60  2.11 0.50 6.93 22.68 248.24 18.64 254.59 -99 -99 -99
09/01/1924 06:00 0.60  2.08 0.50 6.95 22.77 248.37 18.36 253.27 -99 -99 -99
09/01/1924 06:10 0.60  2.03 0.49 6.96 22.82 248.49 18.09 252.45 -99 -99 -99
09/01/1924 06:20 0.60  1.97 0.49 6.98 22.88 248.40 17.83 252.67 -99 -99 -99
09/01/1924 06:30 0.60  1.91 0.48 6.98 22.92 248.01 17.62 252.79 -99 -99 -99
09/01/1924 06:40 0.60  1.83 0.47 6.99 22.93 247.86 17.41 252.21 -99 -99 -99
09/01/1924 06:50 0.60  1.73 0.47 7.01 22.92 247.31 17.17 251.19 -99 -99 -99
09/01/1924 07:00 0.60  1.63 0.47 7.02 22.90 246.82 16.96 250.51 -99 -99 -99
09/01/1924 07:10 0.60  1.52 0.46 7.03 22.91 246.71 16.76 249.50 -99 -99 -99
09/01/1924 07:20 0.60  1.40 0.46 7.04 22.88 246.81 16.55 247.26 -99 -99 -99
09/01/1924 07:30 0.60  1.27 0.46 7.05 22.84 246.85 16.43 245.29 -99 -99 -99
09/01/1924 07:40 0.60  1.13 0.46 7.06 22.80 246.79 16.36 243.67 -99 -99 -99
09/01/1924 07:50 0.60  0.98 0.46 7.06 22.79 246.84 16.35 242.14 -99 -99 -99
09/01/1924 08:00 0.60  0.83 0.46 7.07 22.76 247.38 16.29 240.81 -99 -99 -99
09/01/1924 08:10 0.60  0.66 0.46 7.07 22.72 247.71 16.23 239.57 -99 -99 -99
09/01/1924 08:20 0.60  0.50 0.46 7.08 22.69 247.69 16.23 238.97 -99 -99 -99
09/01/1924 08:30 0.60  0.33 0.46 7.08 22.67 247.98 16.21 238.58 -99 -99 -99
