Column 1: Date 
Column 2: heure 
Column 3: NMRe (m) 
Column 4: Maree (m) 
Column 5: Surcote (m) 
Column 6: Hs(vagues) (m) 
Column 7: Tp(vagues) (s) 
Column 8: Dp(vagues) (°) 
Column 9: U(vent) (m) 
Column 10: Dir(vent) (°) 
Column 11: Qualite(surcote) 
Column 12: Qualite(vagues) 
Column 13: Qualite(vent) 
09/01/1924 02:30 1.37 -0.05 0.14 2.88 10.06 258.56 12.13 260.20 -99 -99 -99
09/01/1924 02:40 1.37  0.12 0.14 2.88 10.23 258.75 12.17 261.76 -99 -99 -99
09/01/1924 02:50 1.37  0.30 0.14 2.87 10.39 259.28 12.21 262.63 -99 -99 -99
09/01/1924 03:00 1.37  0.46 0.14 2.87 10.52 259.90 12.26 263.58 -99 -99 -99
09/01/1924 03:10 1.37  0.62 0.14 2.87 10.61 260.59 12.30 264.43 -99 -99 -99
09/01/1924 03:20 1.37  0.78 0.14 2.86 10.72 260.55 12.35 264.91 -99 -99 -99
09/01/1924 03:30 1.37  0.93 0.14 2.86 10.84 261.04 12.42 265.92 -99 -99 -99
09/01/1924 03:40 1.37  1.07 0.14 2.85 10.96 261.45 12.48 267.00 -99 -99 -99
09/01/1924 03:50 1.37  1.19 0.14 2.85 11.07 261.96 12.57 268.17 -99 -99 -99
09/01/1924 04:00 1.37  1.32 0.14 2.85 11.21 261.84 12.63 269.34 -99 -99 -99
09/01/1924 04:10 1.37  1.42 0.15 2.85 11.35 261.45 12.67 269.44 -99 -99 -99
09/01/1924 04:20 1.37  1.52 0.14 2.86 11.45 261.10 12.75 268.84 -99 -99 -99
09/01/1924 04:30 1.37  1.61 0.15 2.86 11.51 260.42 12.83 268.59 -99 -99 -99
09/01/1924 04:40 1.37  1.68 0.15 2.86 11.53 259.84 12.91 268.18 -99 -99 -99
09/01/1924 04:50 1.37  1.73 0.15 2.86 11.57 259.16 12.95 266.53 -99 -99 -99
09/01/1924 05:00 1.37  1.78 0.15 2.85 11.55 258.78 13.01 264.79 -99 -99 -99
09/01/1924 05:10 1.37  1.81 0.15 2.85 11.53 258.57 13.11 263.37 -99 -99 -99
09/01/1924 05:20 1.37  1.83 0.15 2.85 11.52 258.26 13.19 263.47 -99 -99 -99
09/01/1924 05:30 1.37  1.84 0.15 2.85 11.53 257.69 13.29 263.76 -99 -99 -99
09/01/1924 05:40 1.37  1.83 0.14 2.85 11.56 257.26 13.43 264.98 -99 -99 -99
09/01/1924 05:50 1.37  1.81 0.14 2.85 11.57 256.70 13.58 266.30 -99 -99 -99
09/01/1924 06:00 1.37  1.78 0.14 2.85 11.58 255.83 13.67 267.69 -99 -99 -99
09/01/1924 06:10 1.37  1.73 0.14 2.85 11.65 255.01 13.79 270.36 -99 -99 -99
09/01/1924 06:20 1.37  1.68 0.14 2.85 11.69 254.26 13.87 272.33 -99 -99 -99
09/01/1924 06:30 1.37  1.61 0.14 2.84 11.70 254.02 13.94 273.53 -99 -99 -99
09/01/1924 06:40 1.37  1.53 0.14 2.84 11.70 253.24 14.04 273.89 -99 -99 -99
09/01/1924 06:50 1.37  1.44 0.13 2.85 11.68 252.53 14.15 273.39 -99 -99 -99
09/01/1924 07:00 1.37  1.35 0.13 2.84 11.67 251.89 14.27 273.17 -99 -99 -99
09/01/1924 07:10 1.37  1.24 0.13 2.84 11.62 251.01 14.31 273.16 -99 -99 -99
09/01/1924 07:20 1.37  1.12 0.13 2.83 11.56 250.02 14.41 273.16 -99 -99 -99
09/01/1924 07:30 1.37  1.00 0.13 2.82 11.47 248.86 14.48 273.78 -99 -99 -99
09/01/1924 07:40 1.37  0.87 0.13 2.82 11.42 248.73 14.46 274.97 -99 -99 -99
09/01/1924 07:50 1.37  0.73 0.13 2.81 11.40 248.78 14.47 276.45 -99 -99 -99
09/01/1924 08:00 1.37  0.60 0.13 2.81 11.37 249.46 14.41 277.52 -99 -99 -99
09/01/1924 08:10 1.37  0.45 0.14 2.80 11.32 250.33 14.42 277.85 -99 -99 -99
09/01/1924 08:20 1.37  0.30 0.14 2.79 11.29 251.31 14.42 278.59 -99 -99 -99
09/01/1924 08:30 1.37  0.14 0.14 2.78 11.30 252.62 14.43 278.73 -99 -99 -99
