Column 1: Date 
Column 2: heure 
Column 3: NMRe (m) 
Column 4: Maree (m) 
Column 5: Surcote (m) 
Column 6: Hs(vagues) (m) 
Column 7: Tp(vagues) (s) 
Column 8: Dp(vagues) (°) 
Column 9: U(vent) (m) 
Column 10: Dir(vent) (°) 
Column 11: Qualite(surcote) 
Column 12: Qualite(vagues) 
Column 13: Qualite(vent) 
09/01/1924 02:30 1.70 0.32 0.05 4.01 10.15 237.18 11.70 82.52 -99 -99 -99
09/01/1924 02:40 1.70 0.50 0.05 4.01 10.07 237.04 11.68 79.09 -99 -99 -99
09/01/1924 02:50 1.70 0.66 0.05 4.02  9.94 236.90 11.70 76.08 -99 -99 -99
09/01/1924 03:00 1.70 0.82 0.05 4.03  9.79 236.70 11.71 72.85 -99 -99 -99
09/01/1924 03:10 1.70 0.97 0.05 4.04  9.63 236.24 11.76 70.10 -99 -99 -99
09/01/1924 03:20 1.70 1.11 0.06 4.04  9.53 236.21 11.84 67.55 -99 -99 -99
09/01/1924 03:30 1.70 1.24 0.06 4.05  9.44 236.45 11.95 65.13 -99 -99 -99
09/01/1924 03:40 1.70 1.36 0.06 4.06  9.37 236.22 12.09 63.60 -99 -99 -99
09/01/1924 03:50 1.70 1.47 0.06 4.06  9.34 236.55 12.25 63.40 -99 -99 -99
09/01/1924 04:00 1.70 1.57 0.06 4.07  9.35 237.25 12.45 62.81 -99 -99 -99
09/01/1924 04:10 1.70 1.65 0.06 4.08  9.36 238.08 12.60 62.01 -99 -99 -99
09/01/1924 04:20 1.70 1.72 0.07 4.08  9.34 238.66 12.72 60.86 -99 -99 -99
09/01/1924 04:30 1.70 1.80 0.07 4.08  9.31 239.47 12.77 59.82 -99 -99 -99
09/01/1924 04:40 1.70 1.85 0.07 4.09  9.28 240.37 12.82 59.26 -99 -99 -99
09/01/1924 04:50 1.70 1.89 0.07 4.10  9.21 240.99 12.88 58.69 -99 -99 -99
09/01/1924 05:00 1.70 1.93 0.08 4.10  9.13 241.55 12.87 58.73 -99 -99 -99
09/01/1924 05:10 1.70 1.96 0.08 4.11  9.08 241.89 12.87 58.94 -99 -99 -99
09/01/1924 05:20 1.70 1.97 0.08 4.12  9.02 242.27 12.82 59.35 -99 -99 -99
09/01/1924 05:30 1.70 1.98 0.09 4.12  8.98 242.84 12.88 60.22 -99 -99 -99
09/01/1924 05:40 1.70 1.97 0.09 4.12  8.93 243.26 12.92 60.69 -99 -99 -99
09/01/1924 05:50 1.70 1.95 0.09 4.13  8.86 243.32 12.92 60.55 -99 -99 -99
09/01/1924 06:00 1.70 1.92 0.09 4.13  8.80 243.29 12.94 60.35 -99 -99 -99
09/01/1924 06:10 1.70 1.89 0.09 4.14  8.72 243.19 12.97 60.40 -99 -99 -99
09/01/1924 06:20 1.70 1.83 0.08 4.16  8.65 243.02 13.04 60.57 -99 -99 -99
09/01/1924 06:30 1.70 1.78 0.08 4.16  8.52 242.70 13.07 60.77 -99 -99 -99
09/01/1924 06:40 1.70 1.71 0.08 4.17  8.42 242.29 13.08 60.81 -99 -99 -99
09/01/1924 06:50 1.70 1.62 0.08 4.18  8.32 242.48 13.09 60.42 -99 -99 -99
09/01/1924 07:00 1.70 1.53 0.08 4.19  8.21 242.77 13.09 60.08 -99 -99 -99
09/01/1924 07:10 1.70 1.43 0.09 4.19  8.13 243.05 13.05 59.68 -99 -99 -99
09/01/1924 07:20 1.70 1.31 0.09 4.19  8.07 243.16 13.01 59.73 -99 -99 -99
09/01/1924 07:30 1.70 1.19 0.09 4.20  8.03 242.99 12.99 60.05 -99 -99 -99
09/01/1924 07:40 1.70 1.05 0.09 4.20  8.01 242.87 12.98 60.92 -99 -99 -99
09/01/1924 07:50 1.70 0.91 0.09 4.21  8.03 242.49 12.97 62.13 -99 -99 -99
09/01/1924 08:00 1.70 0.76 0.09 4.22  8.07 241.49 12.98 63.15 -99 -99 -99
09/01/1924 08:10 1.70 0.60 0.08 4.23  8.09 240.44 12.97 63.77 -99 -99 -99
09/01/1924 08:20 1.70 0.43 0.09 4.23  8.08 239.61 12.97 62.86 -99 -99 -99
09/01/1924 08:30 1.70 0.26 0.09 4.24  8.06 238.92 12.98 61.98 -99 -99 -99
