Column 1: Date 
Column 2: heure 
Column 3: NMRe (m) 
Column 4: Maree (m) 
Column 5: Surcote (m) 
Column 6: Hs(vagues) (m) 
Column 7: Tp(vagues) (s) 
Column 8: Dp(vagues) (°) 
Column 9: U(vent) (m) 
Column 10: Dir(vent) (°) 
Column 11: Qualite(surcote) 
Column 12: Qualite(vagues) 
Column 13: Qualite(vent) 
09/01/1924 02:30 0.43 -0.01 0.65 7.85 24.38 249.17 21.71 307.44 -99 -99 -99
09/01/1924 02:40 0.43  0.19 0.65 7.87 24.46 247.61 21.75 306.37 -99 -99 -99
09/01/1924 02:50 0.43  0.37 0.65 7.90 24.53 245.94 21.77 306.51 -99 -99 -99
09/01/1924 03:00 0.43  0.56 0.65 7.93 24.66 244.34 21.80 306.36 -99 -99 -99
09/01/1924 03:10 0.43  0.75 0.65 7.95 24.77 242.83 21.84 306.55 -99 -99 -99
09/01/1924 03:20 0.43  0.92 0.66 7.97 24.88 241.70 21.93 306.81 -99 -99 -99
09/01/1924 03:30 0.43  1.09 0.66 8.00 25.00 241.31 21.99 307.86 -99 -99 -99
09/01/1924 03:40 0.43  1.24 0.66 8.03 25.16 240.16 22.03 309.29 -99 -99 -99
09/01/1924 03:50 0.43  1.39 0.67 8.06 25.31 238.84 22.02 310.20 -99 -99 -99
09/01/1924 04:00 0.43  1.52 0.67 8.08 25.43 238.43 21.97 311.53 -99 -99 -99
09/01/1924 04:10 0.43  1.65 0.67 8.11 25.54 238.03 21.88 312.92 -99 -99 -99
09/01/1924 04:20 0.43  1.76 0.67 8.14 25.62 237.28 21.77 314.53 -99 -99 -99
09/01/1924 04:30 0.43  1.86 0.68 8.16 25.66 236.37 21.68 316.64 -99 -99 -99
09/01/1924 04:40 0.43  1.94 0.68 8.19 25.70 236.07 21.60 318.83 -99 -99 -99
09/01/1924 04:50 0.43  2.01 0.68 8.20 25.73 236.09 21.54 320.67 -99 -99 -99
09/01/1924 05:00 0.43  2.07 0.69 8.24 25.75 235.78 21.53 322.26 -99 -99 -99
09/01/1924 05:10 0.43  2.10 0.69 8.26 25.79 235.66 21.53 323.90 -99 -99 -99
09/01/1924 05:20 0.43  2.12 0.69 8.28 25.80 235.81 21.55 325.32 -99 -99 -99
09/01/1924 05:30 0.43  2.15 0.70 8.31 25.86 236.02 21.52 326.71 -99 -99 -99
09/01/1924 05:40 0.43  2.15 0.70 8.33 25.93 236.55 21.49 328.60 -99 -99 -99
09/01/1924 05:50 0.43  2.13 0.71 8.35 26.01 237.54 21.46 330.13 -99 -99 -99
09/01/1924 06:00 0.43  2.10 0.70 8.37 26.08 238.18 21.40 331.96 -99 -99 -99
09/01/1924 06:10 0.43  2.06 0.71 8.38 26.12 238.87 21.35 333.62 -99 -99 -99
09/01/1924 06:20 0.43  2.00 0.71 8.40 26.23 239.97 21.28 335.17 -99 -99 -99
09/01/1924 06:30 0.43  1.93 0.71 8.42 26.27 241.24 21.21 336.69 -99 -99 -99
09/01/1924 06:40 0.43  1.85 0.71 8.43 26.31 242.70 21.14 337.69 -99 -99 -99
09/01/1924 06:50 0.43  1.76 0.70 8.44 26.34 244.04 21.04 339.92 -99 -99 -99
09/01/1924 07:00 0.43  1.66 0.70 8.44 26.38 245.56 20.96 342.40 -99 -99 -99
09/01/1924 07:10 0.43  1.55 0.70 8.46 26.41 246.90 20.91 343.68 -99 -99 -99
09/01/1924 07:20 0.43  1.42 0.70 8.47 26.44 247.69 20.84 344.14 -99 -99 -99
09/01/1924 07:30 0.43  1.28 0.70 8.47 26.49 248.20 20.76 344.45 -99 -99 -99
09/01/1924 07:40 0.43  1.14 0.70 8.48 26.54 248.63 20.64 344.39 -99 -99 -99
09/01/1924 07:50 0.43  0.98 0.71 8.47 26.61 248.96 20.57 344.44 -99 -99 -99
09/01/1924 08:00 0.43  0.82 0.71 8.48 26.66 249.45 20.47 343.78 -99 -99 -99
09/01/1924 08:10 0.43  0.66 0.70 8.49 26.67 249.88 20.35 343.64 -99 -99 -99
09/01/1924 08:20 0.43  0.49 0.71 8.49 26.66 250.28 20.22 344.15 -99 -99 -99
09/01/1924 08:30 0.43  0.32 0.71 8.49 26.67 250.81 20.07 344.90 -99 -99 -99
